model,season,pr_demise,pr_duration,pr_integrated_amount,pr_onset,pr_peak_amount,pr_peak_timing,pr_seas_ratio,dmi_amount,dmi_timing,hus1000_amount,hus1000_timing,hus850_amount,hus850_timing,mse1000_amount,mse1000_timing,mse850_amount,mse850_timing,tos_amount,tos_timing,ua250_amount,ua250_timing,ua250e_amount,ua250e_timing,wap250_amount,wap250_timing,wap500_amount,wap500_timing,dmi_amount_corr,dmi_timing_corr,hus1000_amount_corr,hus1000_timing_corr,hus850_amount_corr,hus850_timing_corr,mse1000_amount_corr,mse1000_timing_corr,mse850_amount_corr,mse850_timing_corr,tos_amount_corr,tos_timing_corr,ua250_amount_corr,ua250_timing_corr,ua250e_amount_corr,ua250e_timing_corr,wap250_amount_corr,wap250_timing_corr,wap500_amount_corr,wap500_timing_corr
EC-Earth3-AerChem,long,178.63003663003664,47.46153846153846,171.6038983285752,131.16849816849816,5.751310397629693e-05,152.21978021978023,0.3537669323969552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EC-Earth3-AerChem,short,344.6666666666667,84.875,368.1418988661369,259.7916666666667,9.586227007124156e-05,296.8333333333333,0.3537669323969552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EC-Earth3-CC,long,168.02380952380952,46.21825396825397,125.14785949138027,121.80555555555556,5.287461182873928e-05,145.46031746031747,0.7071078488480175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EC-Earth3-CC,short,344.0632911392405,85.39240506329114,347.73014978754367,258.67088607594934,8.950098783953238e-05,296.47679324894517,0.7071078488480175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EC-Earth3-Veg,long,171.86274509803923,42.77450980392157,122.65253998666594,129.08823529411765,5.041844030761151e-05,150.73039215686273,0.7600124833140578,0.5455341339111328,152.0,0.012848667800426483,152.0,0.01153663732111454,153.0,,,,,29.547216415405273,137.0,2.965686559677124,122.0,0.1475372463464737,125.0,0.01674705743789673,134.0,0.009538424201309681,138.0,0.4538491733828446,0.03884996642639267,0.5893779112351833,0.33163077045531775,0.43722511857651275,0.2936712689699348,,,,,0.41964792264544126,0.2282252383183201,0.24307884495656765,0.14864722389825955,0.14281146383211685,-0.05919071717762798,-0.49600060504298726,-0.021364970761822616,-0.7334880444655476,0.3038372689927178
EC-Earth3-Veg,short,345.0740740740741,86.5925925925926,347.87805907596976,258.48148148148147,9.023061649819648e-05,296.8783068783069,0.7600124833140578,1.796381950378418,292.0,0.013007870875298977,305.0,0.011144734919071198,295.0,,,,,28.768280029296875,318.0,-2.4528791904449463,286.0,-3.1396331787109375,282.0,0.0012933650286868215,308.0,-0.013395830057561398,312.0,0.8345033342201236,0.05024471585666256,0.6861383806223023,-0.09889022408730597,0.7122115576402256,-0.16926348728075247,,,,,0.5196505615502731,-0.02658399684710986,-0.5306376778260067,-0.10123508225019692,-0.1220509298170901,-0.23971653987326202,-0.6893603234480943,-0.15370168098275408,-0.8238168725963579,0.4150375820012988
EC-Earth3-Veg-LR,long,157.25510204081633,39.10204081632653,104.38001023010928,118.15306122448979,4.8296482344419336e-05,140.1122448979592,0.7365503264087726,0.5749002695083618,150.0,0.012448655441403389,150.0,0.010982353240251541,151.0,,,,,28.967424392700195,136.0,1.7701271772384644,127.0,0.21083752810955048,142.0,0.0075824023224413395,142.0,-0.0008145113824866712,146.0,0.11006924601803302,-0.16722023076159548,0.8939852688704187,0.7726747477015178,0.8393565005872792,0.7819320068828379,,,,,0.5284732801695029,0.2835672857054205,0.4331278129069338,0.41411650876278283,0.03700088965673423,0.3817799011757541,-0.6772564924036448,-0.00865647267804144,-0.7766865960137171,-0.1681250747184347
EC-Earth3-Veg-LR,short,350.2061855670103,88.14432989690722,396.0265569763012,262.0618556701031,8.921621064445455e-05,300.7628865979381,0.7365503264087726,2.0323266983032227,292.0,0.012488480657339096,316.0,0.010656427592039108,290.0,,,,,28.088300704956055,323.0,-2.914491891860962,277.0,-3.544114112854004,275.0,-0.00034546226379461586,328.0,-0.022344451397657394,304.0,0.8454405072752971,-0.06901526171001043,0.9185143760630449,0.3345928266055147,0.9278639548698795,0.31140526717992956,,,,,0.6301369982594758,0.11420736419395336,-0.240599302690336,-0.1804464779798253,0.30683009375592907,-0.15163029568847736,-0.43599209543991396,-0.1276678918919696,-0.677313227222714,0.5635463919883152
FGOALS-f3-L,long,166.97826086956522,72.91304347826087,136.4302180982903,94.06521739130434,5.404668220011366e-05,132.04347826086956,0.5265615259867442,,,0.017166700214147568,158.0,0.011446475051343441,157.0,339909.21875,154.0,334224.3125,154.0,,,3.7009096145629883,128.0,1.280519962310791,137.0,0.011609494686126709,123.0,0.007937106303870678,122.0,,,0.8864603014129173,0.04704830150880951,0.4527060887568702,0.4292437955806701,0.7941325246514689,0.4222496211766645,0.18196498653764373,0.1467801132297662,,,0.41931969266762237,0.0068050811650699,0.22759223689712188,-0.19991668948898533,-0.6332556086410369,0.3757293257371882,-0.7315694343731377,0.43921291253281514
FGOALS-f3-L,short,350.4470588235294,86.10588235294118,168.1647641820505,264.3411764705882,7.111537099048933e-05,305.01176470588234,0.5265615259867442,,,0.016074463725090027,332.0,0.010973522439599037,301.0,337870.75,332.0,332510.15625,287.0,,,2.503080368041992,351.0,-1.9025330543518066,351.0,0.004304735921323299,333.0,0.0008216984570026398,304.0,,,0.6155513392436605,-0.010467184974232914,0.6704249656624519,0.41570642025415916,0.6834167155140258,-0.3150010391848176,0.5274438948211675,0.2500488971433866,,,-0.11985030736635484,-0.16112468113498135,-0.0011909874056796332,-0.15074595649120293,-0.7610564229584798,-0.026268283153419107,-0.9042582467770176,0.24379977662688015
FGOALS-g3,long,174.2,56.333333333333336,174.96621532538484,117.86666666666666,7.90750185236296e-05,144.26666666666668,0.6936868100999424,,,0.01772504486143589,154.0,0.011156674474477768,154.0,,,,,,,5.353466987609863,94.0,-1.3610559701919556,135.0,-0.009913446381688118,153.0,-0.0011956400703638792,153.0,,,0.2909054642943082,0.5829032928980391,0.441521590849849,0.5128638568023749,,,,,,,0.12410062428616676,-0.07923592704383985,0.05014354342444844,0.20169549525148034,-0.596664421480301,0.48341388097100446,-0.5584262685871058,0.5151828166417436
